Unnamed: 0,Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
98321,16,11,Female,Other,1,HS,Public,Rural,75.1388957708398,68.95466321189062,67.72463758473586,2.49691416509563,0.8890504462068639,0.9984054879192356,1,0,0,0,0,3,2
53680,16,11,Male,White,4,HS,Public,City,70.19926429617973,60.52526387360797,54.97193061413293,1.9996274033765504,0.8530997892155393,0.7928372892921352,1,0,0,0,0,3,3
11537,18,12,Female,Black,4,HS,Private,Rural,85.65917013315335,67.61620042994208,77.67992451169278,2.8741868019110792,0.8860934626022432,1.066042924762325,1,1,1,1,0,3,3
196718,17,12,Male,Other,3,SomeCollege,Public,City,75.79883700700677,77.41973126346613,70.80492881197372,3.050340318634208,0.8748306264031827,0.962402579299149,1,0,0,0,0,3,2
114378,16,11,Female,Black,2,SomeCollege,Public,Suburban,85.73192983672348,81.0922350767124,81.71779189898426,2.9811992248405086,0.9301388771920892,1.0688724432328514,0,1,0,1,0,3,2
213256,15,10,Male,Hispanic,3,<HS,Public,City,65.28693919327134,70.66649940802095,69.89526494845488,3.314009010676525,0.8482168650770083,0.6747208140340735,1,1,0,0,0,4,4
28870,17,12,Female,Hispanic,3,Bachelors+,Public,Suburban,71.32318659745359,58.320243517568855,68.6768026267073,2.742531981580763,0.8557236627210574,0.3689670473997307,1,1,1,1,0,3,2
3206,14,9,Female,White,2,SomeCollege,Public,Suburban,81.47397742305132,76.04241314859489,82.16372717228761,3.622609476633936,0.9267849148718712,1.9043683191357,1,0,0,0,0,4,1
184225,17,12,Male,White,2,HS,Public,Rural,78.21956744400536,76.5407699922878,71.82863736589955,3.5558871487434933,0.9085268940835244,0.7726110550138605,0,0,0,0,0,3,2
129734,16,11,Male,White,1,HS,Public,Suburban,85.89022949319903,82.56792861783961,88.98198748883938,3.602495168893852,0.9493410754935138,1.0552154949613397,1,0,0,1,0,2,1
2113,17,12,Male,White,2,SomeCollege,Public,City,55.94724476488918,59.92549486725245,64.78158948401818,2.655053077122276,0.8410002763237284,0.5987787651284364,1,1,0,0,0,3,1
47082,15,10,Male,White,2,<HS,Public,City,69.98068857650152,69.88556626520763,75.42584239679961,3.193827811123072,0.8798380069705612,0.8674980193396933,1,1,0,0,0,3,2
84960,16,11,Male,White,1,SomeCollege,Public,Town,61.06075037732977,50.10759983869633,52.5045851567279,2.570348983422356,0.8098561588720807,0.5564010389688953,0,0,0,0,1,3,2
156885,14,9,Female,Hispanic,1,<HS,Public,City,90.34031791019244,88.18698675087205,94.8285855394595,3.4043457830096173,0.9845434242785792,1.9695000649918253,1,0,0,0,0,3,2
194424,17,12,Male,Hispanic,3,HS,Public,Suburban,69.90674945391164,71.04689472796748,69.39150786820497,3.2843129839734964,0.8735552149458432,0.4545326630920631,1,1,0,0,1,1,3
137294,18,12,Male,Hispanic,2,<HS,Public,Suburban,61.6739520743987,64.57493469999952,63.506729093319386,2.493331610272472,0.8234829575403971,1.1988786614032574,1,0,0,0,0,4,1
103561,17,12,Male,White,3,<HS,Public,Suburban,78.63920675315833,77.65449530478963,71.43728302601228,3.038413354249348,0.86655966838043,1.0692480926896912,1,1,0,0,0,3,3
35808,15,10,Male,Black,1,SomeCollege,Public,Suburban,72.59609116665804,73.97448926188733,68.96012342309831,2.397051029904772,0.8751386288109911,0.8508164561361125,0,0,0,1,0,4,2
226510,18,12,Female,Black,3,SomeCollege,Public,City,61.938019671593786,56.42542465981066,56.43971529178654,2.6339829956771057,0.8321050211980492,1.0315639835279704,1,1,0,0,1,3,4
128634,15,10,Female,Hispanic,1,<HS,Public,City,87.5940662992098,99.31526278682564,92.43150586661844,3.63103159372631,1.0,1.5773754290449575,1,1,0,1,0,3,1
177044,14,9,Male,Hispanic,3,Bachelors+,Public,Suburban,65.69374802616477,57.82431190360442,70.32587584397392,2.665105254987275,0.8259541620085408,0.7903881922632398,1,0,0,0,0,3,1
163584,15,10,Female,Black,3,<HS,Private,Suburban,82.58422134991007,77.37765274505738,91.66911670506174,3.178273624768952,0.9193152693550546,1.2469382394906767,1,0,0,0,1,3,2
124053,18,12,Female,Hispanic,2,SomeCollege,Private,Suburban,64.80708549857519,68.2364692388773,67.2912785368056,2.329177169539728,0.8802992688181132,0.9789444197357312,0,0,0,1,0,3,2
167821,15,10,Male,Hispanic,2,HS,Public,Suburban,76.97450063660166,73.09000508291977,75.05203470446526,3.2353405849435344,0.9107542634439356,1.2480127801996277,1,0,0,0,0,3,1
167088,15,10,Male,Black,4,SomeCollege,Public,Rural,84.96636997790046,82.86635380146244,79.41326323216646,3.11036286407726,0.9152311277465311,1.7428713464245118,1,0,0,0,0,2,1
238961,14,9,Male,Black,1,HS,Public,City,60.483251688110286,59.647678573836565,67.45802078629937,2.5630089124307784,0.8254576231190127,0.8509844368359327,0,0,0,0,0,5,2
140698,14,9,Female,Black,1,HS,Public,City,75.45173022410638,83.4988210122027,82.99838434319885,3.201760971723598,0.9406086374101462,0.5761426613462892,1,1,0,0,0,3,2
179290,18,12,Female,White,4,HS,Public,Rural,75.87147305691535,62.76282934177446,79.21317233383145,3.225454840145479,0.8929861384586129,1.068218968642504,1,0,1,0,1,3,1
33303,14,9,Female,White,4,Bachelors+,Public,Suburban,68.4580388648152,78.78251886429342,69.78668269955196,3.375112938719252,0.8830990440188174,0.5043493815252751,1,0,0,1,0,4,2
189547,16,11,Male,Black,4,SomeCollege,Public,City,67.75557256882887,69.72266710279479,65.54231276807948,2.562287538848262,0.9125396574743586,1.191202436992855,1,1,0,0,0,3,2
200184,14,9,Male,Hispanic,2,HS,Public,Suburban,67.25865785624745,62.402765757118,71.72692831836724,2.778175879954349,0.8482988094688433,0.7995859777604137,1,0,1,1,0,1,1
127096,17,12,Male,Hispanic,4,SomeCollege,Public,Suburban,80.16430272453718,69.08117543410239,79.32736400226263,2.7911587732244354,0.9173015507291784,0.9780494974749714,1,1,0,0,0,2,1
84364,14,9,Female,Hispanic,2,HS,Public,Suburban,69.61174072098335,78.2893477569878,73.29381610584579,3.026282253141185,0.8967257616008739,1.2593737693712148,1,1,0,0,1,5,1
10752,15,10,Male,White,4,Bachelors+,Public,Rural,68.13688006323638,63.74834434987648,64.64819699033654,2.6369897242464044,0.8469597316613569,0.7402716085279771,1,1,0,1,0,3,4
38883,16,11,Female,Hispanic,3,SomeCollege,Public,Rural,80.42381417814266,93.3641679960544,79.09818702389258,3.8285912732149487,0.946883737771678,0.9300615024087402,1,0,0,0,0,3,1
230888,16,11,Female,White,3,SomeCollege,Public,Suburban,54.75059625815886,62.77720773476804,58.21963664211948,2.040204062058518,0.8273923172616405,0.4838166504930093,1,1,0,1,0,3,1
19950,17,12,Female,Hispanic,4,SomeCollege,Public,Rural,72.00536725459155,72.22092200956165,69.29256686941727,3.121910697063555,0.8805847883856086,0.6814374225663887,1,0,1,1,0,3,2
32236,15,10,Male,White,4,SomeCollege,Private,Suburban,88.78828620841759,81.78985279692702,74.77303214666344,2.9391413779498863,0.9017732545243392,1.188030712621222,1,0,1,0,0,3,3
215741,16,11,Male,White,4,SomeCollege,Public,Suburban,88.16463392064207,80.54570518878577,90.9723632614434,3.367340649971034,0.9592622357584104,1.395153903903647,1,0,0,0,1,4,4
39559,14,9,Male,White,2,<HS,Public,City,77.67391141712004,79.12047903935876,79.63291217670985,3.3725545069775875,0.9324304043827466,0.8131548701830182,1,1,1,0,0,3,2
208934,14,9,Male,White,4,Bachelors+,Public,Suburban,67.13915563360474,78.23323776941493,69.41211939761249,2.866433727021448,0.8741112939093817,1.2040500138273913,1,0,0,1,0,3,3
24095,15,10,Male,White,1,<HS,Public,City,72.56189948628197,58.91216496497318,63.0545095450709,2.575769854488733,0.8440025282407404,0.6225664406838973,1,0,0,0,0,4,3
18552,17,12,Female,Black,4,SomeCollege,Public,City,79.58260188877335,74.00143753325858,78.09607925341042,2.78852402504733,0.919007359604608,1.3305065945107368,1,1,0,1,0,4,3
179839,18,12,Male,Other,1,HS,Public,Suburban,76.62044204363643,72.95063305644904,71.96739619123213,3.595837116529061,0.9455835254806736,1.0620312493916615,1,1,0,0,1,2,2
80763,17,12,Male,White,1,HS,Public,Rural,52.75355764715914,65.5763553066247,60.54708534014325,2.702941678530772,0.8255412908378151,0.9729765897514568,0,1,0,0,0,4,1
102684,16,11,Female,White,2,HS,Public,City,62.07062325793374,70.57744321423539,60.624018354069534,2.426293516645388,0.8509229819097245,1.0034423835260524,1,1,0,1,1,5,1
210894,15,10,Female,White,2,<HS,Public,City,72.55286736257327,89.20714127184934,80.9647718156276,3.5534382808270912,0.9033502427301552,1.2026144476536524,1,1,0,0,0,2,1
169129,15,10,Female,White,4,Bachelors+,Public,Suburban,91.93277651362236,88.76031011247498,84.97221249182702,3.300210613804341,0.9593137043903376,1.2689230100147584,1,1,0,0,1,1,2
65357,18,12,Female,Two-or-more,3,<HS,Public,City,73.04354605142368,74.89921075806176,82.0408453541078,2.4152719224340187,0.9048799657089576,1.1715940622896008,1,1,0,0,0,3,3
150228,15,10,Female,White,3,HS,Public,City,68.0525039041117,81.35551074251022,79.35649838157646,3.571731291048125,0.8813343922317968,0.6510341008496714,1,0,0,0,0,3,3
43726,16,11,Male,Two-or-more,4,Bachelors+,Public,City,84.28483532500243,86.28033556740952,78.89581878832809,3.43261437498272,0.9398322895638828,0.9344187593697176,1,0,0,1,0,4,3
236169,17,12,Female,White,3,<HS,Public,City,58.66717886759622,62.21565088136977,63.196568168556695,2.551969294663942,0.8395622059134836,0.3465318291406151,1,0,1,0,1,1,2
193095,18,12,Female,White,2,SomeCollege,Public,Suburban,69.0799165907947,57.73257071241531,57.29248340041529,2.0777744168168435,0.8371074419935698,0.781580311404381,1,1,0,1,1,3,1
215754,17,12,Female,Asian,2,Bachelors+,Public,Suburban,76.01527220028252,81.6689991599152,73.80732155892974,3.0891749029576814,0.905835395739461,0.9939699326700164,1,1,0,1,1,3,1
100853,17,12,Male,Hispanic,2,<HS,Public,Suburban,66.20562578565892,71.43963576580119,71.24404811766289,3.1275917812617244,0.866969674657056,1.1891441747784293,0,1,0,0,0,3,1
218490,15,10,Female,White,2,<HS,Public,Suburban,68.84229381788953,75.76218481174925,74.68739679755353,2.7382579309296897,0.9028120103025492,0.8844496000444216,1,0,1,0,0,3,1
63070,18,12,Male,White,4,HS,Public,Rural,74.30190279387482,80.87568301416411,76.01854189845756,2.478484103352619,0.9035681228270406,0.6802245274804738,1,1,0,1,0,2,2
39434,18,12,Female,White,4,SomeCollege,Public,City,80.0737964342496,80.06559090236809,80.37775225741665,3.2751858737864104,0.9506437498419532,0.8563079408992955,1,1,0,1,0,2,1
100596,18,12,Male,Black,3,SomeCollege,Public,Suburban,66.02430711758271,79.45287103306302,75.51470850836604,3.157385958870732,0.9088154092134444,1.4526277703670756,1,0,0,0,1,3,1
239815,15,10,Female,Two-or-more,3,SomeCollege,Private,City,80.5023352933873,65.85457448989501,80.67526395553185,2.8621033750336733,0.8976604637414131,1.3174145936762056,1,0,0,1,1,2,3
188702,18,12,Male,White,4,SomeCollege,Public,Rural,79.81483607039009,77.7331128801825,73.59058481926095,3.27710542773509,0.9384801737061644,1.3341700025536745,1,0,0,1,0,3,2
30205,18,12,Female,Black,3,SomeCollege,Public,City,60.63321270781205,60.68071588446985,78.10376012635328,2.569789666408437,0.852484861267987,0.9469696810368132,1,1,1,1,1,3,4
70830,17,12,Female,White,3,SomeCollege,Public,City,55.96122577230376,58.02083958289499,55.28306009756631,2.500351880131209,0.7882223693946881,0.5950979146265307,1,1,0,0,0,3,1
166246,15,10,Female,Hispanic,1,<HS,Public,Suburban,77.76084338719615,86.66350016077767,84.01983675687617,4.0,0.9367268914923969,1.295065830895124,1,0,0,1,1,3,1
